moisture,pH,EC,nitrogen,phosphorus,potassium,soilTemperature,airTemperature,airHumidity,soilHealth
51.6,6.83,1.52,59.65,36.67,60.33,23.6,29.41,84.49,Healthy
54.29,6.89,1.61,56.2,34.18,37.3,24.28,25.39,70.93,Healthy
8.44,8.5,2.59,25.76,11.91,25.1,15.36,38.93,97.36,Needs Attention
45.36,6.54,1.27,68.44,46.16,42.68,21.51,26.53,91.4,Healthy
42.73,6.62,1.36,56.71,48.26,64.49,29.51,22.13,64.3,Healthy
60.59,7.63,2.13,34.03,30.34,21.36,34.23,34.67,44.33,Moderate
43.28,7.09,1.2,55.48,39.7,35.09,21.71,26.88,71.31,Healthy
62.24,7.18,0.42,32.4,35.79,32.46,32.81,32.68,86.49,Moderate
41.57,6.43,1.19,68.57,36.81,54.4,29.49,26.97,78.36,Healthy
27.61,6.83,1.16,50.99,21.88,20.66,30.95,34.03,56.54,Moderate
49.95,6.91,1.1,53.51,41.7,58.44,24.44,27.73,60.85,Healthy
60.37,8.67,0.82,62.79,15.59,40.32,28.17,33.39,46.8,Moderate
36.6,6.81,1.23,58.27,38.65,29.45,26.09,24.04,67.06,Healthy
80.66,8.66,2.63,17.46,8.64,22.87,34.59,37.76,31.04,Needs Attention
91.09,8.55,0.69,15.55,11.05,21.62,33.96,35.2,95.56,Needs Attention
41.35,7.01,1.07,63.73,40.81,62.72,24.35,27.17,76.58,Healthy
97.87,8.71,2.99,20.15,11.13,21.46,35.87,37.1,96.27,Needs Attention
54.81,6.93,1.19,49.31,37.79,61.57,25.08,26.38,84.35,Healthy
6.32,8.59,0.4,23.32,11.02,9.18,14.52,34.03,95.1,Needs Attention
92.61,5.18,2.9,14.24,10.51,15.39,35.21,19.32,25.28,Needs Attention
40.49,6.75,1.21,65.83,43.0,49.0,24.86,28.72,72.55,Healthy
41.96,5.76,2.08,21.98,25.45,29.35,28.98,35.25,76.59,Moderate
59.19,7.3,1.26,72.99,28.28,59.46,23.27,24.21,77.53,Healthy
62.28,6.91,1.39,71.86,52.52,57.13,22.56,25.35,58.98,Healthy
4.54,5.13,2.59,18.31,10.04,20.06,35.26,39.84,35.22,Needs Attention
63.36,5.65,0.8,27.95,21.14,20.67,29.94,36.28,44.79,Moderate
90.2,4.86,2.69,21.63,13.57,21.66,15.81,38.86,95.08,Needs Attention
16.12,8.61,2.81,16.14,10.85,29.18,40.38,38.66,34.55,Needs Attention
48.24,6.89,1.53,47.46,49.54,49.92,28.69,28.26,89.74,Healthy
46.14,6.12,1.35,51.6,26.84,57.83,24.51,28.5,78.59,Healthy
7.88,4.92,0.58,11.25,14.33,20.33,18.12,32.29,96.27,Needs Attention
48.81,6.87,1.62,74.63,35.82,53.27,24.28,30.07,93.6,Healthy
51.82,6.69,1.33,64.78,36.31,46.02,26.85,28.65,60.97,Healthy
50.74,7.23,1.3,48.34,41.82,56.14,25.72,29.48,65.41,Healthy
88.07,4.91,2.79,19.22,11.94,13.68,17.01,38.73,96.1,Needs Attention
17.41,5.19,0.28,23.57,10.95,17.03,32.8,35.66,32.92,Needs Attention
2.41,4.79,2.73,16.76,21.71,19.81,36.75,21.48,94.66,Needs Attention
49.07,7.03,1.39,52.1,37.62,64.15,24.36,32.57,66.86,Healthy
47.37,6.84,1.4,72.58,40.93,52.09,23.35,25.45,74.14,Healthy
58.36,6.54,1.4,70.66,39.61,60.25,23.03,26.41,76.58,Healthy
49.27,6.32,1.42,50.55,43.06,38.58,24.54,28.72,80.17,Healthy
26.29,7.94,0.69,48.55,9.39,17.66,32.58,33.04,89.91,Moderate
56.85,6.86,1.57,39.28,29.26,50.66,27.33,24.63,73.84,Healthy
62.71,6.85,0.83,77.51,33.27,53.62,24.75,27.72,72.43,Healthy
56.01,6.74,1.79,37.27,39.11,49.51,24.22,22.25,69.38,Healthy
90.6,8.71,0.45,29.18,11.36,14.81,13.01,16.67,94.48,Needs Attention
43.62,6.72,1.57,78.94,32.18,44.9,23.44,24.76,64.01,Healthy
44.23,6.6,1.2,72.88,44.01,48.9,23.32,24.03,71.37,Healthy
26.81,7.74,2.12,31.16,23.03,29.34,29.74,37.04,84.19,Moderate
56.32,6.68,1.37,51.64,50.77,55.73,22.53,25.82,81.68,Healthy
67.15,6.85,1.29,52.16,40.49,31.59,23.31,25.64,74.16,Healthy
68.14,6.02,2.08,25.62,15.74,38.15,30.79,35.39,38.31,Moderate
50.86,5.78,1.41,64.79,32.16,62.66,22.97,26.04,73.86,Healthy
61.66,8.15,2.02,34.26,18.64,32.08,30.44,36.34,32.4,Moderate
95.33,8.37,0.47,17.53,9.22,24.23,30.42,38.28,93.01,Needs Attention
85.28,5.49,0.51,19.86,22.02,16.28,16.72,35.42,99.28,Needs Attention
63.83,6.85,1.86,41.58,15.63,38.27,31.47,32.9,91.96,Moderate
53.88,6.87,1.48,70.09,64.47,57.07,26.77,27.84,77.83,Healthy
34.53,5.28,0.76,16.68,34.54,30.28,29.92,34.31,38.43,Moderate
57.58,6.84,1.1,56.65,43.02,59.1,20.03,24.1,74.79,Healthy
45.28,6.79,1.4,44.59,41.76,36.75,23.38,29.0,73.52,Healthy
51.52,6.88,1.69,61.59,45.9,52.65,22.46,27.49,82.94,Healthy
55.88,6.82,1.84,49.08,39.3,36.31,26.53,30.34,79.85,Healthy
61.17,7.85,2.45,19.29,19.93,27.48,30.68,31.21,80.31,Moderate
13.01,8.49,2.68,28.54,9.88,10.99,35.81,37.82,92.02,Needs Attention
11.46,8.15,2.56,11.88,13.83,25.98,14.11,35.51,97.99,Needs Attention
69.04,7.76,2.27,28.25,14.92,27.78,29.89,33.42,84.49,Moderate
9.1,8.63,2.66,23.06,12.66,17.7,35.65,19.69,95.62,Needs Attention
87.57,5.53,2.63,26.13,14.29,26.6,30.52,37.21,95.45,Needs Attention
47.08,7.13,1.71,53.03,37.73,56.2,30.57,26.29,84.44,Healthy
59.41,6.72,1.7,46.34,43.19,55.45,30.39,24.99,61.19,Healthy
39.42,6.41,0.83,32.08,24.29,8.84,32.01,34.57,52.64,Moderate
51.88,6.19,1.04,62.25,33.48,55.02,26.45,23.19,59.3,Healthy
15.14,5.11,2.62,10.72,4.75,10.8,34.17,38.25,100.0,Needs Attention
45.15,6.77,1.39,55.7,31.77,71.92,25.46,24.99,64.94,Healthy
63.97,6.94,0.7,57.92,36.63,48.46,25.99,27.8,65.55,Healthy
33.51,5.92,1.93,31.4,18.74,28.4,34.37,32.04,78.72,Moderate
33.29,5.46,2.11,34.26,23.23,37.85,36.82,32.16,77.61,Moderate
59.79,6.71,1.36,71.16,39.26,49.47,23.28,27.86,69.02,Healthy
83.17,8.99,0.54,28.11,3.97,26.89,33.93,37.64,97.05,Needs Attention
31.42,8.11,1.1,35.24,9.0,37.48,28.4,34.09,35.08,Moderate
93.41,8.19,2.89,13.08,18.14,15.8,31.48,17.71,33.72,Needs Attention
55.4,6.95,1.49,68.06,44.6,45.97,17.13,26.01,72.35,Healthy
48.15,7.07,1.25,57.11,27.89,55.21,25.07,29.39,61.69,Healthy
48.07,7.24,1.44,44.17,43.99,69.86,27.49,23.69,69.58,Healthy
47.91,7.06,1.27,67.6,51.53,46.08,27.52,30.14,79.82,Healthy
61.23,5.62,2.24,27.49,12.17,35.21,35.87,34.12,44.13,Moderate
50.83,6.08,1.19,59.15,41.94,46.14,22.51,25.18,70.7,Healthy
72.22,5.28,1.13,29.56,22.01,14.45,29.76,34.68,40.81,Moderate
86.3,5.48,2.59,28.7,6.13,15.36,16.31,16.5,98.06,Needs Attention
44.95,5.44,1.24,31.84,20.4,27.76,33.74,32.69,52.44,Moderate
59.51,7.47,1.17,65.2,16.98,58.69,19.82,25.43,60.18,Healthy
35.3,5.2,0.74,19.79,24.6,31.03,30.39,36.46,98.36,Moderate
64.81,7.27,0.79,70.51,34.93,70.01,21.9,23.62,71.55,Healthy
25.55,6.04,0.82,34.96,10.95,18.36,31.63,30.56,45.3,Moderate
18.92,8.38,2.98,19.42,17.83,13.29,15.57,19.37,36.64,Needs Attention
56.37,6.65,1.28,56.2,32.2,30.85,20.64,31.12,88.72,Healthy
46.69,6.68,1.48,72.63,51.79,51.16,26.96,25.45,75.93,Healthy
35.26,6.97,1.01,56.41,38.85,51.92,24.62,27.11,75.27,Healthy
78.38,7.96,2.27,30.36,11.4,38.67,32.92,40.89,42.23,Moderate
15.68,8.47,2.95,31.77,11.83,23.72,33.97,32.88,26.79,Needs Attention
51.04,6.22,1.48,72.82,29.44,44.16,23.51,26.0,88.57,Healthy
5.65,4.95,2.8,28.37,15.08,6.94,32.82,24.73,93.93,Needs Attention
40.34,6.55,1.59,41.35,32.85,47.34,26.94,32.14,75.41,Healthy
78.53,4.95,2.89,18.89,12.22,18.79,37.38,37.05,31.28,Needs Attention
27.73,8.1,0.85,33.96,15.6,34.51,27.88,38.38,49.47,Moderate
53.76,7.07,1.7,60.77,50.56,69.83,23.74,28.34,83.48,Healthy
33.09,7.05,1.84,56.36,50.4,51.76,28.5,25.63,50.72,Healthy
72.78,8.16,2.15,36.92,22.78,41.51,32.53,30.44,86.33,Moderate
37.95,6.68,1.44,57.87,33.61,46.21,23.71,29.45,65.91,Healthy
91.64,8.07,0.35,13.91,12.96,12.76,11.19,36.48,32.17,Needs Attention
37.34,5.84,0.89,26.42,16.13,32.41,28.41,33.22,53.2,Moderate
50.51,7.27,1.01,78.22,57.21,56.57,26.58,26.89,70.11,Healthy
49.62,7.23,1.74,68.51,30.37,52.17,27.56,27.82,76.99,Healthy
42.54,6.35,1.64,51.53,46.3,50.03,25.65,22.3,76.1,Healthy
43.87,7.85,0.58,32.19,27.83,43.24,30.12,33.93,87.35,Moderate
42.76,6.7,1.68,59.36,43.19,65.88,28.22,26.83,83.47,Healthy
60.73,6.22,0.76,38.23,30.59,33.78,32.3,28.77,37.8,Moderate
6.86,4.97,0.59,23.54,15.58,27.51,39.65,21.43,99.84,Needs Attention
61.74,5.61,2.08,38.54,18.31,30.36,31.32,34.07,41.54,Moderate
93.8,8.21,0.44,26.51,16.15,13.35,31.29,38.56,96.26,Needs Attention
96.03,8.61,2.83,18.47,16.6,9.04,15.52,19.73,28.55,Needs Attention
78.95,5.76,0.81,37.62,22.87,31.39,33.15,34.12,40.31,Moderate
35.01,6.31,0.95,21.58,21.25,19.62,29.95,38.89,28.6,Moderate
69.73,8.06,0.67,36.23,30.75,31.74,30.6,36.43,46.25,Moderate
26.13,6.12,2.08,21.98,15.64,42.73,33.53,37.22,47.53,Moderate
86.16,5.53,2.85,16.53,21.21,17.85,16.47,40.05,96.33,Needs Attention
19.51,5.53,2.07,28.95,16.86,33.39,33.59,30.97,74.73,Moderate
45.8,7.32,1.81,63.04,24.59,52.31,23.21,27.06,62.43,Healthy
48.16,6.07,1.42,55.97,40.41,50.1,28.07,26.19,64.4,Healthy
58.17,6.72,1.52,55.38,50.05,64.69,28.4,27.8,91.51,Healthy
40.24,7.67,1.99,34.38,14.55,33.33,33.58,30.94,84.43,Moderate
71.01,8.51,0.74,42.41,24.98,22.27,27.28,34.36,82.04,Moderate
59.61,7.0,1.44,57.85,53.48,59.59,22.61,29.8,66.94,Healthy
53.19,6.86,1.87,69.02,31.52,59.96,26.73,27.94,82.18,Healthy
68.95,6.03,2.14,40.7,17.65,16.67,29.35,36.64,90.05,Moderate
92.92,4.9,0.43,23.93,14.41,19.45,34.62,18.35,96.14,Needs Attention
85.45,8.77,2.72,26.42,7.84,17.34,21.47,33.31,26.82,Needs Attention
61.47,6.92,1.21,63.09,34.8,52.33,23.28,26.6,80.47,Healthy
10.03,8.77,0.11,20.05,12.33,25.98,34.95,35.57,99.37,Needs Attention
67.56,7.93,2.06,39.81,16.25,35.09,34.75,33.78,87.52,Moderate
48.69,6.76,1.2,54.53,30.48,36.55,21.57,27.26,65.37,Healthy
93.75,8.41,2.81,16.55,12.06,25.44,35.13,16.88,36.1,Needs Attention
78.11,5.8,0.81,19.93,13.74,29.43,33.99,33.52,100.0,Moderate
59.13,6.58,1.59,59.27,37.18,61.65,22.94,20.43,74.34,Healthy
85.22,8.22,2.59,14.3,20.75,14.98,34.26,36.34,96.11,Needs Attention
38.71,6.91,1.61,66.12,51.44,61.54,22.99,25.83,79.55,Healthy
65.79,6.4,1.48,61.61,37.51,41.98,22.54,25.36,65.61,Healthy
82.8,5.0,0.42,18.18,14.13,16.77,34.09,18.49,29.79,Needs Attention
10.41,4.78,0.41,16.68,11.8,19.66,38.31,39.34,26.81,Needs Attention
55.46,6.43,1.44,50.09,35.66,42.03,27.73,25.07,70.19,Healthy
61.34,6.74,1.59,43.56,41.96,51.4,27.57,25.38,69.83,Healthy
71.03,7.73,0.93,25.32,24.56,26.4,30.94,37.04,38.02,Moderate
23.63,7.71,1.75,52.74,17.67,34.84,32.01,32.62,43.4,Moderate
8.56,4.96,0.41,26.68,5.95,20.08,18.76,17.94,93.92,Needs Attention
77.66,4.67,2.81,27.28,18.44,10.49,16.97,18.71,98.86,Needs Attention
85.55,4.58,2.69,25.97,17.45,15.36,14.12,36.1,34.8,Needs Attention
39.47,6.86,1.26,52.29,34.36,46.13,22.4,27.74,70.6,Healthy
59.34,6.69,1.24,51.43,15.78,41.88,27.14,25.25,67.82,Healthy
81.09,4.74,2.85,17.98,11.9,24.18,34.68,22.44,90.7,Needs Attention
68.68,6.04,1.02,46.37,30.47,32.64,31.86,30.49,34.54,Moderate
66.57,5.79,1.13,46.28,13.61,24.55,30.19,37.31,81.43,Moderate
87.82,5.0,0.29,13.27,20.99,32.31,15.58,18.06,23.6,Needs Attention
49.72,6.87,1.33,52.97,35.49,77.44,23.82,30.21,64.18,Healthy
36.85,6.18,0.82,25.06,22.89,31.02,33.59,32.41,91.24,Moderate
57.44,6.34,1.4,61.02,43.54,53.16,28.07,23.11,69.84,Healthy
60.06,6.42,1.37,45.59,36.05,36.36,20.05,23.24,81.33,Healthy
26.73,7.46,2.16,36.64,38.15,28.82,32.35,34.07,92.28,Moderate
61.1,7.28,1.65,66.06,36.57,69.16,22.67,22.17,79.21,Healthy
57.48,7.31,1.48,49.81,30.9,68.98,28.43,29.66,72.54,Healthy
41.27,6.68,1.5,61.41,41.17,27.89,24.71,26.55,79.78,Healthy
51.13,6.41,1.56,68.57,31.76,48.74,25.78,26.98,59.65,Healthy
46.25,6.36,1.61,60.88,44.88,47.86,24.35,20.46,75.39,Healthy
38.88,7.9,2.06,38.8,15.17,25.07,30.73,25.48,49.46,Moderate
44.33,6.55,1.46,42.6,44.62,27.19,25.41,28.37,64.85,Healthy
55.06,6.58,1.34,52.68,49.05,49.19,27.93,32.35,65.35,Healthy
14.01,4.84,2.56,24.9,6.48,19.64,31.33,40.29,97.32,Needs Attention
48.32,7.16,1.34,58.21,35.55,62.2,24.69,24.71,72.06,Healthy
44.62,6.38,1.12,77.11,40.09,40.55,27.01,25.56,66.14,Healthy
6.36,8.54,0.51,12.77,9.69,6.65,17.31,16.6,97.62,Needs Attention
60.03,6.41,1.61,76.15,31.6,48.79,23.6,29.25,83.35,Healthy
52.75,6.73,1.26,58.42,40.98,59.15,22.9,29.62,62.18,Healthy
9.92,4.74,2.75,21.42,9.08,23.96,17.07,36.3,31.37,Needs Attention
69.42,6.33,2.42,36.85,23.4,41.64,29.92,34.58,34.45,Moderate
57.94,6.77,1.66,44.93,21.81,39.31,22.48,25.07,76.03,Healthy
19.68,5.95,0.78,26.81,22.49,18.08,35.09,30.92,90.09,Moderate
55.29,6.74,1.36,64.96,38.85,44.02,26.0,26.81,76.4,Healthy
95.36,8.56,2.83,20.78,11.3,9.23,34.12,18.51,95.33,Needs Attention
67.53,8.33,0.41,32.64,17.49,35.35,34.65,34.82,40.37,Moderate
33.27,7.01,0.55,36.78,19.38,34.76,33.21,31.49,84.13,Moderate
24.15,5.69,2.1,34.66,22.24,22.61,34.0,31.56,42.93,Moderate
57.82,6.67,1.35,61.0,36.46,76.1,23.02,28.24,79.44,Healthy
12.98,4.94,0.54,18.67,12.22,11.44,35.98,17.35,23.82,Needs Attention
14.9,8.28,2.68,22.57,9.2,20.05,14.15,35.35,96.18,Needs Attention
36.47,6.74,1.45,57.36,51.04,55.81,26.49,26.25,75.84,Healthy
67.62,6.25,1.3,68.49,35.57,56.86,26.58,27.53,62.0,Healthy
69.21,7.15,1.04,54.4,37.87,57.75,22.17,25.41,60.8,Healthy
51.07,6.17,2.12,31.56,37.45,53.62,23.15,29.99,77.91,Healthy
97.58,9.01,2.83,25.64,9.6,13.22,35.83,37.04,34.87,Needs Attention
43.25,6.08,1.39,77.58,38.26,50.92,26.6,27.06,70.07,Healthy
66.31,5.19,1.74,24.73,24.22,33.69,31.22,36.81,44.52,Moderate
85.75,5.0,2.69,32.33,18.2,12.7,18.94,36.36,96.21,Needs Attention
54.36,6.96,1.34,43.15,35.72,61.95,23.48,27.07,69.0,Healthy
9.79,8.4,0.35,23.36,6.93,17.41,34.71,20.29,96.52,Needs Attention
95.03,8.36,2.68,11.77,28.34,11.65,21.91,18.78,31.74,Needs Attention
36.95,5.82,0.32,6.57,23.59,24.18,27.9,31.94,47.5,Moderate
16.93,5.05,2.77,23.63,11.19,24.19,15.41,18.38,100.0,Needs Attention
72.75,8.06,0.74,22.93,23.96,42.45,30.38,32.18,84.8,Moderate
48.23,6.59,1.34,65.89,32.63,63.13,20.7,27.89,78.95,Healthy
71.08,5.77,1.88,30.13,22.51,42.35,33.73,37.68,85.51,Moderate
84.63,5.25,2.78,27.86,14.94,18.01,35.19,35.35,22.09,Needs Attention
53.36,6.71,1.45,61.34,47.36,50.91,26.73,30.11,68.25,Healthy
39.77,6.68,1.5,61.85,46.79,57.81,25.87,24.63,74.65,Healthy
60.8,6.36,1.56,53.14,48.66,60.84,24.49,31.66,70.31,Healthy
57.27,7.12,1.42,66.06,48.22,51.3,23.6,24.07,75.84,Healthy
23.28,7.83,2.16,33.58,28.12,15.94,37.96,35.16,48.11,Moderate
44.89,6.46,1.73,59.3,38.38,58.99,26.15,23.23,84.46,Healthy
79.22,7.39,0.56,23.73,20.36,28.45,28.1,35.62,52.38,Moderate
49.18,5.61,1.02,35.07,26.56,21.89,32.88,34.51,83.22,Moderate
85.37,8.68,2.74,10.77,11.75,13.35,15.79,19.12,30.89,Needs Attention
51.61,6.83,1.39,56.33,37.17,70.73,23.46,28.02,49.24,Healthy
39.77,6.98,1.92,61.24,37.95,35.31,29.63,25.45,59.33,Healthy
49.33,6.91,1.87,84.49,43.35,59.53,24.83,22.56,75.12,Healthy
65.79,7.19,0.72,45.69,17.31,30.37,30.05,31.66,44.03,Moderate
62.29,5.52,2.41,46.0,21.92,35.3,33.35,33.73,34.61,Moderate
39.25,6.66,1.63,64.06,33.69,40.32,24.54,28.68,75.65,Healthy
8.54,8.52,0.36,19.96,7.73,31.57,17.03,20.25,38.92,Needs Attention
67.89,5.95,1.17,29.99,25.39,29.48,33.85,39.07,44.89,Moderate
48.23,6.03,2.37,33.4,18.52,31.79,29.15,36.24,42.22,Moderate
56.98,6.64,1.2,38.84,51.47,42.57,20.76,27.39,58.61,Healthy
13.24,8.2,0.43,11.3,6.37,14.65,35.09,18.07,95.54,Needs Attention
90.36,5.21,0.5,19.81,12.8,22.55,17.45,35.35,32.31,Needs Attention
15.41,4.81,2.7,17.37,10.78,14.02,16.08,36.15,96.05,Needs Attention
80.86,7.67,0.69,41.97,24.97,52.36,35.68,31.3,74.6,Moderate
75.02,7.87,0.74,28.88,24.93,28.86,25.38,32.96,37.7,Moderate
46.12,6.42,1.9,55.72,37.47,58.94,24.53,20.03,90.2,Healthy
85.73,8.37,0.52,30.82,9.14,22.1,18.51,37.03,99.21,Needs Attention
43.09,7.09,1.77,59.76,30.17,65.07,26.79,28.65,71.53,Healthy
42.08,5.82,2.21,49.62,25.5,14.42,32.11,32.84,87.3,Moderate
15.22,5.22,2.65,15.38,10.7,27.82,39.34,36.07,26.58,Needs Attention
72.35,7.27,2.36,34.31,22.69,44.47,30.14,31.58,48.24,Moderate
50.86,6.54,1.4,84.18,41.46,56.5,22.74,30.06,78.84,Healthy
83.57,5.59,2.29,33.63,21.28,29.4,33.63,34.35,39.56,Moderate
67.58,8.0,0.99,38.89,33.29,27.08,32.84,35.51,86.52,Moderate
92.14,7.93,2.83,15.94,9.75,17.27,38.39,37.66,28.72,Needs Attention
21.05,6.08,2.54,26.54,20.97,24.79,28.68,32.1,79.38,Moderate
59.89,6.71,1.97,77.3,40.56,47.86,30.17,29.24,75.95,Healthy
62.8,7.4,1.79,60.38,44.48,45.16,25.1,29.24,78.88,Healthy
45.27,6.99,1.76,71.81,44.24,51.17,26.49,23.57,55.4,Healthy
58.52,5.5,2.29,35.89,14.97,42.17,30.18,27.86,93.71,Moderate
53.34,6.54,1.29,57.02,32.64,49.71,29.35,30.13,74.77,Healthy
